epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,5107.94,0.83868,1.2579,0.53236,0.87047,0,0.74637,0.75577,0.79238,0.56305,0.72509,0.72534,0.75287,0.42585,0.89742,1.39579,0.66422,0.9014,0,0.00393654,0.00131218,0.00393654,0.00131218,0.00393654,0.00131218,0.00393654,0.00131218
45,5221.7,0.83024,1.26869,0.53124,0.87086,0,0.77158,0.74336,0.79703,0.56759,0.75167,0.70698,0.75717,0.42557,0.89066,1.39851,0.64809,0.89964,0,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
46,5335.58,0.83,1.2559,0.52759,0.87102,0,0.75161,0.74291,0.79577,0.5643,0.73667,0.70686,0.75273,0.42058,0.88747,1.39132,0.63896,0.89793,0,0.00388703,0.00129568,0.00388703,0.00129568,0.00388703,0.00129568,0.00388703,0.00129568
47,5449.79,0.83263,1.26717,0.52368,0.86705,0,0.7678,0.73989,0.798,0.56578,0.74333,0.70887,0.75589,0.42357,0.89926,1.44426,0.66199,0.89969,0,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742
48,5563.71,0.82997,1.25223,0.52131,0.87038,0,0.76295,0.73559,0.7934,0.56322,0.74836,0.70341,0.75366,0.41768,0.89706,1.41153,0.63511,0.90428,0,0.00383752,0.00127917,0.00383752,0.00127917,0.00383752,0.00127917,0.00383752,0.00127917
49,5677.81,0.8306,1.2567,0.52026,0.86641,0,0.76599,0.74578,0.79612,0.56751,0.75276,0.70114,0.75163,0.42431,0.88691,1.37698,0.65709,0.90475,0,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
50,5792.13,0.82476,1.24322,0.50956,0.8652,0,0.75649,0.74473,0.7918,0.56171,0.73894,0.71885,0.75586,0.43095,0.89348,1.38154,0.66087,0.90753,0,0.00378801,0.00126267,0.00378801,0.00126267,0.00378801,0.00126267,0.00378801,0.00126267
51,5905.93,0.82267,1.22123,0.51458,0.86515,0,0.74572,0.74027,0.79026,0.5584,0.72345,0.69793,0.74544,0.41759,0.89348,1.42018,0.67113,0.90489,0,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
52,6019.9,0.82208,1.24705,0.51111,0.86379,0,0.76402,0.74664,0.79374,0.56196,0.73234,0.71111,0.74612,0.41975,0.89367,1.39189,0.65338,0.90297,0,0.0037385,0.00124617,0.0037385,0.00124617,0.0037385,0.00124617,0.0037385,0.00124617
53,6133.85,0.81251,1.23721,0.50915,0.86492,0,0.74242,0.75092,0.79075,0.55932,0.73126,0.71094,0.75115,0.42263,0.90047,1.42727,0.65636,0.9043,0,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
54,6247.81,0.81417,1.21559,0.50714,0.86133,0,0.75063,0.74094,0.78909,0.56274,0.74804,0.70371,0.75192,0.42357,0.8925,1.41055,0.64445,0.90519,0,0.00368899,0.00122966,0.00368899,0.00122966,0.00368899,0.00122966,0.00368899,0.00122966
55,6362.11,0.8163,1.23085,0.51198,0.86104,0,0.76289,0.74562,0.79284,0.56402,0.73526,0.71394,0.75046,0.42535,0.89189,1.42383,0.66519,0.90292,0,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141
56,6476.21,0.81871,1.21429,0.50541,0.86594,0,0.75405,0.74515,0.79126,0.56538,0.73578,0.71435,0.74853,0.42307,0.89401,1.41728,0.64082,0.8976,0,0.00363948,0.00121316,0.00363948,0.00121316,0.00363948,0.00121316,0.00363948,0.00121316
57,6590.7,0.8151,1.22058,0.50291,0.86235,0,0.74773,0.74998,0.788,0.56057,0.74102,0.69767,0.74354,0.41886,0.90255,1.43512,0.65308,0.90202,0,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
58,6705.07,0.81122,1.2102,0.49509,0.86094,0,0.75845,0.73569,0.78868,0.5581,0.74284,0.69672,0.74338,0.41796,0.89533,1.44493,0.64835,0.90056,0,0.00358997,0.00119666,0.00358997,0.00119666,0.00358997,0.00119666,0.00358997,0.00119666
59,6819.29,0.80728,1.20057,0.49636,0.8602,0,0.77078,0.73868,0.79277,0.56531,0.7446,0.70276,0.74488,0.41769,0.89266,1.45239,0.64348,0.90117,0,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
60,6933.82,0.79987,1.19066,0.49327,0.85783,0,0.76457,0.7299,0.78292,0.55706,0.74916,0.70078,0.74614,0.41806,0.89814,1.48289,0.65811,0.90308,0,0.00354046,0.00118015,0.00354046,0.00118015,0.00354046,0.00118015,0.00354046,0.00118015
61,7047.74,0.7913,1.16881,0.48112,0.85616,0,0.75119,0.75056,0.79124,0.56287,0.74502,0.69963,0.74397,0.41899,0.8935,1.45391,0.65306,0.9103,0,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
62,7161.88,0.8009,1.19326,0.49231,0.85731,0,0.76395,0.74035,0.7904,0.56139,0.74843,0.70284,0.74314,0.41965,0.89285,1.46188,0.6548,0.90427,0,0.00349095,0.00116365,0.00349095,0.00116365,0.00349095,0.00116365,0.00349095,0.00116365
63,7275.62,0.80031,1.18243,0.49061,0.85733,0,0.76081,0.7345,0.79164,0.55938,0.73591,0.70122,0.74279,0.41911,0.90306,1.47816,0.65371,0.91032,0,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
64,7389.83,0.79337,1.18216,0.48423,0.85541,0,0.75871,0.74599,0.78893,0.5615,0.73548,0.71791,0.74721,0.42465,0.89603,1.42195,0.64666,0.90545,0,0.00344144,0.00114715,0.00344144,0.00114715,0.00344144,0.00114715,0.00344144,0.00114715
65,7504.24,0.79498,1.18892,0.48305,0.85687,0,0.75908,0.75277,0.79324,0.56653,0.74652,0.69772,0.74428,0.42335,0.89433,1.43973,0.65331,0.90962,0,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
66,7618.54,0.79594,1.16529,0.48371,0.85569,0,0.76594,0.73288,0.789,0.55946,0.73676,0.69926,0.73964,0.41959,0.89698,1.41163,0.64852,0.91167,0,0.00339193,0.00113064,0.00339193,0.00113064,0.00339193,0.00113064,0.00339193,0.00113064
67,7732.37,0.78701,1.14094,0.47705,0.85636,0,0.76445,0.74076,0.78773,0.5606,0.75111,0.70161,0.74833,0.42296,0.89861,1.48294,0.6454,0.91316,0,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
68,7846.34,0.7891,1.16653,0.4743,0.85621,0,0.76398,0.72825,0.78848,0.56301,0.74471,0.69407,0.74344,0.41826,0.89227,1.43383,0.65352,0.90708,0,0.00334242,0.00111414,0.00334242,0.00111414,0.00334242,0.00111414,0.00334242,0.00111414
69,7960.56,0.77778,1.13052,0.46757,0.85061,0,0.75834,0.73862,0.78889,0.56163,0.746,0.69686,0.74437,0.4193,0.88995,1.45834,0.65293,0.90971,0,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
70,8075.27,0.78283,1.14245,0.4712,0.85071,0,0.74989,0.74461,0.78435,0.55739,0.74567,0.69372,0.73953,0.42142,0.90326,1.46912,0.66264,0.91536,0,0.00329291,0.00109764,0.00329291,0.00109764,0.00329291,0.00109764,0.00329291,0.00109764
71,8189.97,0.7857,1.16185,0.46759,0.85352,0,0.74865,0.75188,0.78828,0.56191,0.7319,0.70877,0.74338,0.42024,0.8952,1.44387,0.66138,0.90586,0,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
72,8304.27,0.77972,1.14652,0.46927,0.8531,0,0.75223,0.75824,0.78841,0.56329,0.73405,0.71409,0.74213,0.42772,0.90111,1.45138,0.64636,0.91176,0,0.0032434,0.00108113,0.0032434,0.00108113,0.0032434,0.00108113,0.0032434,0.00108113
73,8418.76,0.76879,1.1504,0.46499,0.85192,0,0.75552,0.74164,0.78781,0.55953,0.74387,0.69767,0.74251,0.42061,0.9018,1.45106,0.65412,0.91362,0,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
74,8532.73,0.77885,1.13143,0.46358,0.85311,0,0.75617,0.74984,0.78667,0.55905,0.74443,0.70928,0.74494,0.42413,0.90844,1.45744,0.65607,0.91267,0,0.00319389,0.00106463,0.00319389,0.00106463,0.00319389,0.00106463,0.00319389,0.00106463
