epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,7424.32,0.86007,1.3127,0.57876,0.9084,0,0.75808,0.75944,0.80984,0.58416,0.75946,0.73014,0.78441,0.452,0.87541,1.2714,0.59656,0.92272,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,7585.14,0.86417,1.30704,0.57121,0.90485,0,0.76857,0.76248,0.81031,0.58247,0.75414,0.73417,0.77698,0.45007,0.87654,1.2376,0.60498,0.92354,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,7745.64,0.84577,1.26064,0.56642,0.90246,0,0.7569,0.76663,0.81606,0.58928,0.77119,0.71448,0.78551,0.44719,0.87279,1.27171,0.58626,0.91957,0,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,7906.37,0.85285,1.27796,0.56698,0.90486,0,0.76935,0.75924,0.81508,0.58909,0.77268,0.72275,0.78472,0.45427,0.87669,1.23928,0.58488,0.93181,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,8066.82,0.85361,1.28549,0.57037,0.90625,0,0.77339,0.76191,0.81205,0.58716,0.76061,0.72655,0.77609,0.44461,0.87164,1.27759,0.58853,0.92434,0,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,8227.38,0.84941,1.25841,0.56589,0.90876,0,0.76926,0.757,0.81743,0.58523,0.75762,0.72655,0.78337,0.44718,0.87811,1.2442,0.60146,0.92478,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,8387.78,0.85465,1.2832,0.5682,0.90346,0,0.77015,0.76109,0.81714,0.58796,0.75953,0.7258,0.77926,0.4492,0.87255,1.2224,0.58658,0.92643,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,8548.49,0.84539,1.27177,0.55813,0.90009,0,0.74892,0.76332,0.80654,0.58205,0.75499,0.71763,0.7722,0.44839,0.87057,1.2538,0.60033,0.92189,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,8708.97,0.83931,1.25109,0.55009,0.89863,0,0.77358,0.75595,0.81219,0.58829,0.76666,0.72094,0.77805,0.44769,0.87004,1.27673,0.591,0.91851,0,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,8869.6,0.83734,1.22734,0.55138,0.89995,0,0.75259,0.76297,0.80179,0.57912,0.76728,0.70409,0.76926,0.44336,0.87132,1.24051,0.60647,0.92493,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,9029.99,0.84648,1.24536,0.55575,0.89983,0,0.76403,0.75922,0.81318,0.58836,0.75143,0.7229,0.77619,0.44992,0.86847,1.23313,0.59489,0.92514,0,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,9190.68,0.84028,1.24142,0.54843,0.90018,0,0.78351,0.74841,0.81798,0.59286,0.7724,0.71905,0.7815,0.45723,0.86333,1.23281,0.5869,0.9217,0,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,9351.32,0.83645,1.23733,0.5511,0.89626,0,0.76092,0.75295,0.81101,0.58544,0.76004,0.71559,0.77641,0.45001,0.87386,1.26789,0.59449,0.92682,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,9512,0.83001,1.27037,0.5418,0.89386,0,0.76752,0.76655,0.80988,0.5852,0.75868,0.72939,0.77822,0.45212,0.87508,1.26199,0.59421,0.93148,0,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
