epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,12115,0.86086,1.31607,0.58949,0.91341,0,0.7643,0.75366,0.80456,0.57951,0.75095,0.72389,0.77587,0.44388,0.87257,1.28994,0.59733,0.92959,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,12408.9,0.85591,1.30226,0.58344,0.90952,0,0.74747,0.75596,0.80619,0.57829,0.7536,0.71743,0.77317,0.44245,0.87118,1.27419,0.60897,0.92645,0,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,12702.6,0.85191,1.29838,0.57375,0.91034,0,0.76977,0.74895,0.81017,0.58589,0.74542,0.71755,0.77137,0.45128,0.87213,1.22743,0.59654,0.92367,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,12997,0.8565,1.3183,0.5735,0.914,0,0.75829,0.75072,0.80081,0.57787,0.76204,0.71397,0.77649,0.44852,0.8781,1.26216,0.60601,0.92594,0,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,13290.8,0.85705,1.30511,0.58644,0.91246,0,0.7632,0.75333,0.8051,0.58003,0.75391,0.72117,0.77293,0.44395,0.87653,1.2714,0.60475,0.9272,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,13584.6,0.85105,1.28394,0.57681,0.90718,0,0.77226,0.75641,0.81343,0.58553,0.76122,0.72461,0.78075,0.45074,0.87282,1.2485,0.59392,0.92213,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,13878.4,0.84691,1.30491,0.57584,0.90479,0,0.77305,0.7513,0.80987,0.58665,0.7886,0.70821,0.78092,0.44924,0.87371,1.24696,0.59933,0.9223,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,14172.4,0.84108,1.25998,0.56916,0.9027,0,0.779,0.74353,0.80716,0.58107,0.76944,0.71915,0.77537,0.44915,0.87364,1.25194,0.60487,0.92129,0,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,14466,0.83068,1.23154,0.55271,0.9032,0,0.75234,0.75719,0.80788,0.58422,0.75861,0.71505,0.77455,0.44661,0.8617,1.22247,0.60107,0.92089,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,14759.8,0.84483,1.26462,0.56618,0.90497,0,0.77592,0.74979,0.81259,0.58342,0.76749,0.70249,0.77048,0.4324,0.87058,1.28458,0.59681,0.92139,0,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
